Band,Note,Frequency
A_band,Sa,32
A_band,Re,36
A_band,Ga,41
A_band,Ma,43
A_band,Pa,48
A_band,Dha,55
A_band,Ni,61
B_band,Sa,65
B_band,Re,73
B_band,Ga,82
B_band,Ma,87
B_band,Pa,98
B_band,Dha,110
B_band,Ni,123
C_band,Sa,261
C_band,Re,293
C_band,Ga,329
C_band,Ma,349
C_band,Pa,392
C_band,Dha,440
C_band,Ni,493
D_band,Sa,261
D_band,Re,293
D_band,Ga,329
D_band,Ma,350
D_band,Pa,392
D_band,Dha,440
D_band,Ni,493
E_band,Sa,329.63
E_band,Re,369.99
E_band,Ga,415.3
E_band,Ma,720
E_band,Pa,784
E_band,Dha,880
E_band,Ni,987
F_band,Sa,1046
F_band,Re,1174
F_band,Ga,1318
F_band,Ma,1396
F_band,Pa,1568
F_band,Dha,1760
F_band,Ni,1979
G_band,Sa,2093
G_band,Re,2349
G_band,Ga,2637
G_band,Ma,2793
G_band,Pa,3136
G_band,Dha,3520
G_band,Ni,3951
G_band,saa,4186
bind,A,440
bind,B,493.88
bind,C,261.63
bind,D,293.66
bind,E,329.63
bind,F,349.23
bind,G,392.0
bind,A#,466.1638
bind,Bb,466.1638
bind,G#,415.3047
bind,Ab,415.3047
bind,F#,369.9944
bind,Gb,369.9944
bind,D#,311.127
bind,Eb,311.127
bind,C#,277.1826
bind,Db,277.1826
bind,gap,20
